0007		ACADÉMIE GAÏA
0009		Sergi Castillo Lapeira
0010		© Sergi Castillo Lapeira, 2026
0011		Première édition : 2026
0012		Tous droits réservés.
0013		Aucune partie de cette publication ne peut être reproduite, stockée dans un système de récupération de données ni transmise, sous quelque forme et par quelque moyen que ce soit — électronique, mécanique, par photocopie, par enregistrement ou autre —, sans l’autorisation écrite et préalable de l’auteur, sauf dans le cas de brèves citations intégrées à des critiques ou à des travaux universitaires.
0014		Ceci est une œuvre de fiction. Les noms, les personnages, les lieux et les événements sont le fruit de l’imagination de l’auteur ou sont utilisés de manière fictive. Toute ressemblance avec des personnes réelles, vivantes ou mortes, serait purement fortuite.
0015		sergicastillo.com
0016		Pour Xavier et Hel·lena
0017		« Peut-être la réalité n’est-elle pas un lieu, mais la façon dont toutes les consciences se rencontrent. »
0018		— Académie Gaïa
0019		TABLE DES MATIÈRES
0189	Normal	Marguerite sortit deux petits bouts de papier et deux stylos de sa pochette.
0190	Normal	— Maintenant, je veux que chacun de vous écrive son objectif précis sur ces papiers. Que voulez-vous obtenir, exactement, de l’autre ? Je serai la seule à le lire, et je le révélerai à la fin de l’exercice.
0191	Normal	Elle leur remit les papiers et les stylos. Yuki hésita un instant avant d’écrire : « Je veux que Malik rougisse. » Malik, pour sa part, écrivit rapidement : « Je veux que Yuki m’embrasse. » Marguerite ramassa les papiers, les lut d’un air neutre et les rangea dans sa pochette.
0192	Normal	— Très bien. Yuki, c’est toi qui commenceras.
0193	Normal	Le silence imprégna tous les recoins de la salle. Alors Yuki se dressa devant Malik, planta son regard dans le sien et lui tourna le dos. Elle dénoua ses cheveux et retira le sweat qu’elle portait, dévoilant son corps à la peau d’une blancheur extrême et sa poitrine généreuse sous un tee-shirt blanc très moulant. Puis elle prit un petit appareil qu’elle gardait dans son sac, l’actionna, et une musique sensuelle, voluptueuse, commença à se faire entendre. Son corps entama une danse hypnotique qui se prolongea durant toute sa « performance ». Suivant le rythme mélodique, Yuki se déplaça du côté opposé à Malik sans se retourner face à lui et, s’approchant par-derrière, à son oreille, dans un chuchotement inaudible pour le reste de la classe, elle lui dit, d’une voix chaude et intime, ce qu’elle ressentait devant lui, comment elle aspirait son odeur de mâle dominant, comment elle passait des nuits sans dormir à imaginer son corps nu sous les draps soyeux de son lit, serrant l’oreiller de ses mains tremblantes tandis qu’elle l’attendait. À mesure qu’il l’écoutait, le visage de Malik se transformait peu à peu. Il s’était formé une image de Yuki qui ne correspondait en rien à ce qu’il pouvait observer à présent. La fragile et timide jeune fille s’était changée en une tigresse asiatique prête à le dévorer. Les couleurs de son visage virèrent peu à peu, depuis le brun naturel de son teint, en passant par un rouge rosé, jusqu’au pourpre le plus lumineux. Arrivée à ce point, la jeune fille actionna l’appareil, la musique cessa de se faire entendre, elle remit son sweat et se rattacha les cheveux avec un élastique. La Yuki réservée et prudente était de retour.
0194	Normal	— Très bien, dit Marguerite. Malik, c’est ton tour à présent.
0195	Normal	Malik eut besoin de quelques instants pour se remettre de l’expérience qu’il venait de vivre. Pourtant, il se ressaisit vite et se leva pour se placer devant Yuki, fixa son regard et s’agenouilla devant elle, adoptant une posture et une attitude de supplication.
0196	Normal	— Yuki, je ne t’ai jamais raconté la véritable origine de ma famille, ni le motif de ma présence dans cette institution. Mais je sens que le moment est venu de dire la vérité et de laisser derrière moi cette couche d’imposture qui me recouvre depuis que j’ai foulé pour la première fois ces lieux. Je t’ai trompée, toi et tous ceux qui me connaissent, car ma véritable identité est celle d’un espion. Mon vrai nom est Daniel Hayes, et je suis ici pour soutirer le plus d’informations possible sur vous et sur cette académie.
0197	Normal	Tandis que Malik parlait, Yuki demeurait silencieuse, dans une attitude d’écoute attentive, mais son visage restait impassible, sans laisser paraître le moindre signe qui pût être interprété comme une marque de surprise, de doute ou d’étonnement. Devant son expression de marbre, Malik commença à se sentir affaibli, envisageant la possibilité d’échouer dans sa tentative d’atteindre son objectif. Pourtant, il ne renonça pas, et continua de jouer son rôle.
0198	Normal	— Mais je ne veux pas que tu penses que c’était une décision de ma part. Bien au contraire, j’ai été contraint de le faire sous de très graves menaces contre moi et ma famille. En toute sincérité, je n’ai aucune vocation d’espion, ni les talents nécessaires. Si je te le raconte, c’est parce que je ne peux plus supporter ce mensonge qui me ronge l’âme. C’est pourquoi je t’implore de m’aider. Ces jours-ci, j’ai pu voir en toi un fond d’humanité et de compassion très élevé, joint à une générosité naturelle qui te grandit. Peut-être vais-je au-delà des limites que le bon sens impose en te faisant cette demande. Peut-être suis-je en train de profiter de toi sans le vouloir. Mais j’espère que tu verras ma détresse et que tu t’attendriras. Je ne te demande rien d’autre qu’un baiser pour sceller notre pacte d’amitié mutuelle, sincère et réelle, qui, étant telle, deviendra éternelle. Yuki, je ne veux pas m’étendre davantage : veux-tu être mon amie de cœur ? Nous ferons-nous ce baiser d’authenticité ? M’aideras-tu ?
0199	Normal	Yuki demeura immobile, avec son regard inexpressif de toujours, jusqu’à ce que les quinze minutes de Malik soient écoulées, moment où Marguerite mit fin à l’exercice.
0200	Normal	— Excellent, tous les deux, dit-elle, avec une satisfaction manifeste. Maintenant, avant que la classe ne vote, permettez-moi de révéler quels étaient vos objectifs.
0201	Normal	Elle sortit les papiers de sa pochette et lut à voix haute :
0202	Normal	— Yuki voulait que Malik rougisse.
0203	Normal	Un murmure parcourut la classe, tandis que Malik regardait Yuki avec une compréhension nouvelle.
0204	Normal	— Et toi, Malik, poursuivit-elle, tu voulais qu’elle t’embrasse.
0205	Normal	— Comme vous pouvez le voir, dit Marguerite en s’adressant à toute la classe, l’un et l’autre ont élaboré leurs stratégies pour séduire l’autre et l’amener à accomplir une action déterminée, avec une issue inégale. En ce sens, au-delà des résultats, il faut dire que tous deux ont fait du bon travail.
0206	Normal	Puis elle demanda à la classe de voter. Après avoir compté les voix, Marguerite annonça :
0207	Normal	— C’est Yuki qui l’emporte, à la majorité, ce qui vient nous démontrer que nous ne pouvons pas toujours atteindre nos desseins à l’égard des autres, si séduisantes que soient nos armes et notre capacité à convaincre. Pour la prochaine fois, je veux que vous rédigiez tous un petit texte pour tenter d’expliquer le sens de votre vote, c’est-à-dire pourquoi vous estimez que Yuki a atteint son objectif tandis que Malik a échoué.
0208	Normal	Tandis que les étudiants rassemblaient leurs affaires, Yuki et Malik échangèrent un sourire de complicité.
0209	Normal	— Alors comme ça, tu voulais que je rougisse ! Tu as été très habile, et il était impossible de résister à la stratégie que tu as employée.
0210	Normal	— Et toi, tu voulais que je t’embrasse, répondit-elle avec un sourire plus ouvert qu’à l’accoutumée. Mais tu t’étais fixé un objectif trop ambitieux, vu la culture du protocole qui caractérise la société japonaise.
0211	Normal	— Eh bien, toi, tu as assuré, répondit Malik avec sincérité. Tu as le rythme dans la peau. Tu ondulais comme un serpent !
0212	Normal	Yuki sentit qu’elle rougissait légèrement, mais pour la première fois elle ne chercha pas à le cacher.
0213	Normal	— Merci pour tout, ajouta Malik. C’était une expérience dingue !
0214	Normal	— Et merci à toi pour ta prestation, répondit Yuki. J’ai presque failli croire que tu étais un véritable espion !
0215	Heading 2	CHAPITRE 3. Anastasia
0216	Normal	Le premier jour de cours s’était achevé, et Anastasia se reposait dans sa chambre, après être passée par le cours de séduction, l’atelier de macramé poétique, le cours sur les zombies et la première séance consacrée au cinéma. Elle ne se sentait pas fatiguée, mais le rythme académique avait été frénétique, et le temps lui manquait pour assimiler tous ces contenus de façon analytique et méthodique, conformément à la nature de son esprit.
0217	Normal	La chambre était de forme rectangulaire et de dimensions généreuses, car elle était prévue pour accueillir deux étudiantes. Son plafond était très haut, comme partout dans le bâtiment, et elle possédait une fenêtre ornée de vitraux de couleurs qui transformaient la lumière du soleil, lui donnant un aspect chatoyant. Ainsi, la pièce se trouvait suffisamment éclairée par la lumière naturelle, mais d’une intensité faible qui ne gênait pas la vue. Les rideaux, d’un velours rouge intense, ajoutaient de la chaleur à l’ensemble. Le sol était un parquet usé par le passage des ans, et le mobilier se composait de deux lits individuels, de tables de nuit, de bureaux pour étudier, de deux chaises, d’un canapé et d’étagères pour y ranger des livres. L’atmosphère générale était austère mais agréable. Anastasia se demandait qui serait la jeune fille qui partagerait sa chambre, et si elles se lieraient d’amitié rapidement. Nouer des relations sociales ne lui coûtait pas, mais la possibilité de devoir partager la chambre avec quelqu’un avec qui elle ne pourrait établir aucun lien ni aucune affinité l’inquiétait.
0218	Normal	Avant l’heure du dîner, qui était servi ponctuellement à dix-neuf heures trente, elle disposait d’assez de temps pour mettre de l’ordre dans ses pensées, à commencer par le lieu où elle se trouvait. Elle fit un tour d’horizon et arrêta son regard sur son sac à dos ouvert, d’où dépassait à moitié, enveloppé de papier, un cadre avec la photo d’elle et de son frère jumeau, Ilya, un jeune homme grand et mince, aux yeux vifs et intelligents. Derrière eux se détachait un ensemble de montagnes enneigées et intimidantes, peut-être le dernier paysage que son frère avait vu avant d’être victime d’une avalanche gigantesque qui l’avait englouti.
0219	Normal	Un an déjà s’était écoulé depuis ce drame, mais Anastasia sentait en elle une étincelle d’espoir, qui lui disait qu’Ilya était toujours vivant quelque part, dans un recoin reculé de ces vallées, et qu’un jour ils se retrouveraient. Elle posa le cadre avec soin sur la petite table de nuit et se demanda ce qu’elle faisait dans cette chambre. Peut-être avait-elle commis une folie en acceptant la bourse pour partir à Barcelone, dans une académie si… étrange. Mais elle avait besoin de changer d’air, de trouver un nouvel environnement qui lui permette de se distraire de la tristesse dont la perte d’Ilya avait imprégné sa vie. De plus, elle devait reprendre ses études, retrouver la motivation pour la philosophie et la science que son frère lui avait transmise. Quand l’offre d’une bourse pour la Catalogne lui était parvenue, elle avait pensé que quelqu’un, du haut du ciel, l’avait entendue.
0220	Normal	Soudain, elle entendit un bruit qui provenait de l’extérieur, aussi sortit-elle de la chambre afin d’en découvrir l’origine. Tandis qu’elle avançait dans le couloir, elle aperçut un panneau suspendu au plafond, muni d’une flèche indicatrice qui disait : « Vers la Bibliothèque », désignant un corridor mystérieux, étroit et mal éclairé. Incapable de réfréner un sentiment de curiosité inné, elle s’engagea dans ce passage, jusqu’à déboucher sur une salle haute, vaste et circulaire, devant laquelle se dressait une grande porte en chêne massif, à demi ouverte. Elle n’y réfléchit pas à deux fois et décida qu’elle devait entrer.
0221	Normal	Une fois à l’intérieur, elle put contempler une salle gigantesque qui s’ouvrait devant elle. Les murs étaient tapissés de livres, sur différents étages et balcons, auxquels on accédait par des escaliers en colimaçon métalliques. Il y avait aussi, disposées en rangées, de nombreuses tables accompagnées de lampes, et plusieurs comptoirs munis d’écrans holographiques pour permettre aux étudiants d’accéder aux vastes catalogues dont se composait le fonds documentaire et bibliographique. Anastasia éprouva une sensation d’étouffement devant une telle profusion de ressources. Elle voulait chercher des ouvrages liés aux sujets qu’Ilya cultivait, mais elle ne savait comment s’orienter. Alors, comme s’il avait deviné son état d’âme, surgit de nulle part un petit robot de forme ovoïde, monté sur roues, qui roulait à vive allure dans sa direction. Deux grands yeux ronds, qui ressemblaient à des lentilles de verre épais, s’illuminèrent d’une lumière chaude et jaunâtre. De sa partie supérieure se déploya un petit bras articulé qui fit un geste aimable, comme s’il saluait.
0222	Normal	— Bonjour ! dit une voix douce et légèrement synthétique. Bienvenue à la Grande Bibliothèque de l’académie Gaïa. Je suis l’Unité Bibliothécaire d’Indexation et de Logistique Universelle Matricielle, mais tout le monde m’appelle Biblium. Es-tu peut-être désorientée, ou as-tu besoin d’aide pour localiser quelque volume ou concept précis ? Et quel est ton nom ?
0223	Normal	— Bonjour, Biblium, moi, je m’appelle Anastasia. Comment se fait-il qu’il n’y ait pas un être humain pour faire ton travail ? Ne le prends pas mal, tu es très sympathique, mais je ne m’attendais pas à être reçue par un robot.
0224	Normal	— Ne t’en fais pas, tout le monde me dit cela la première fois qu’il me voit. De temps à autre, un technicien humain vient nous rendre visite pour vérifier que tout fonctionne bien, mais au fond ce travail est très mécanique. Demande-moi ce que tu veux, tu verras que je te serai utile et efficace.
